MV7,Dynamic Microphone,Shure,"A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.",174.00,https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif,199.00,2023-12-01,Government,"None ",Germany,15,2985.00,2610.00,December,2023,December,none,0,2985.0000000000
NT1-A,Condenser Microphone,Rode,"A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.",160.00,https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png,229.00,2023-12-01,Education,"None ",United States of America,6,1374.00,960.00,December,2023,December,none,0,1374.0000000000
Scarlett 2i2,Audio Interface,Focusrite,"A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.",118.00,https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png,169.00,2023-12-01,Government,"None ",Canada,18,3042.00,2124.00,December,2023,December,none,0,3042.0000000000
Scarlett 2i2,Audio Interface,Focusrite,"A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.",118.00,https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png,169.00,2023-12-01,Government,"None ",Germany,15,2535.00,1770.00,December,2023,December,none,0,2535.0000000000
QuadCast S,Streaming Microphone,HyperX,"A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.",97.00,https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif,139.00,2023-12-01,Government,"None ",Canada,18,2502.00,1746.00,December,2023,December,none,0,2502.0000000000
MV7,Dynamic Microphone,Shure,"A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.",174.00,https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif,199.00,2023-12-01,Government,"Low ",France,22,4378.00,3828.00,December,2023,December,low,14,4316.7080000000
Scarlett 2i2,Audio Interface,Focusrite,"A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.",118.00,https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png,169.00,2023-12-01,Government,"Low ",France,22,3718.00,2596.00,December,2023,December,low,14,3665.9480000000
MV7,Dynamic Microphone,Shure,"A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.",174.00,https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif,199.00,2023-12-01,Government,"Low ",Canada,29,5771.00,5046.00,December,2023,December,low,14,5690.2060000000
Scarlett 2i2,Audio Interface,Focusrite,"A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.",118.00,https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png,169.00,2023-12-01,Small Business,"Low ",Canada,19,3211.00,2242.00,December,2023,December,low,14,3166.0460000000
Scarlett 2i2,Audio Interface,Focusrite,"A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.",118.00,https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png,169.00,2023-12-01,Government,"Low ",Canada,29,4901.00,3422.00,December,2023,December,low,14,4832.3860000000
